Australian Bureau of Statistics,,,,,,,,,,,,
1270055006C185 Postcode 2011 to Local Government Area 2011,,,,,,,,,,,,
Released at 11.30am (Canberra time) 27 June 2012,,,,,,,,,,,,
Table 3 Correspondence,,,,,,,,,,,,
,,,,,,,,,,,,
POSTCODE,POSTCODE,LGA_CODE_2011,LGA_NAME_2011,RATIO,PERCENTAGE,,,,,,,
2172,2172,14900,Liverpool (C),0.7331638,73.3163771,,,,,,,
2172,2172,17150,Sutherland Shire (A),0.2668359,26.6835915,,,,,,,
2173,2173,11500,Campbelltown (C),0.0001224,0.012241,,,,,,,
2173,2173,14900,Liverpool (C),0.9998774,99.9877373,,,,,,,
2174,2174,14900,Liverpool (C),1.0,100.0,,,,,,,
2175,2175,12850,Fairfield (C),1.0,100.0,,,,,,,
2176,2176,12850,Fairfield (C),1.0,100.0,,,,,,,
2177,2177,12850,Fairfield (C),0.9987505,99.8750493,,,,,,,
2177,2177,14900,Liverpool (C),0.0012495,0.1249507,,,,,,,
2178,2178,12850,Fairfield (C),0.1516026,15.1602608,,,,,,,
2178,2178,14900,Liverpool (C),0.5025614,50.2561442,,,,,,,
2178,2178,16350,Penrith (C),0.3458359,34.583595,,,,,,,
2179,2179,11450,Camden (A),0.4286046,42.8604647,,,,,,,
2179,2179,14900,Liverpool (C),0.5713954,57.1395353,,,,,,,
2190,2190,10350,Bankstown (C),0.940229,94.0229043,,,,,,,
2190,2190,17100,Strathfield (A),0.059771,5.9770957,,,,,,,
2191,2191,11550,Canterbury (C),0.7819568,78.195676,,,,,,,
2191,2191,17100,Strathfield (A),0.2180432,21.804324,,,,,,,
2192,2192,11550,Canterbury (C),1.0,100.0,,,,,,,
2193,2193,10150,Ashfield (A),0.0414237,4.1423734,,,,,,,
2193,2193,11550,Canterbury (C),0.9585763,95.8576266,,,,,,,
2194,2194,11550,Canterbury (C),1.0,99.9999994,,,,,,,
2195,2195,11550,Canterbury (C),1.0,100.0,,,,,,,
2196,2196,10350,Bankstown (C),0.2543069,25.430691,,,,,,,
2196,2196,11550,Canterbury (C),0.7456931,74.569309,,,,,,,
2197,2197,10350,Bankstown (C),1.0,100.0,,,,,,,
2198,2198,10350,Bankstown (C),1.0,100.0,,,,,,,
2199,2199,10350,Bankstown (C),1.0,100.0,,,,,,,
2200,2200,10350,Bankstown (C),1.0,100.0,,,,,,,
2203,2203,15200,Marrickville (A),1.0,100.0,,,,,,,
2204,2204,11550,Canterbury (C),0.000377,0.0376982,,,,,,,
2204,2204,15200,Marrickville (A),0.999623,99.9623018,,,,,,,
2205,2205,16650,Rockdale (C),1.0,99.9999983,,,,,,,
2206,2206,11550,Canterbury (C),0.9999945,99.9994463,,,,,,,
2207,2207,16650,Rockdale (C),1.0,99.9999984,,,,,,,
2208,2208,11550,Canterbury (C),0.5022319,50.2231932,,,,,,,
2208,2208,14150,Hurstville (C),0.2632769,26.3276855,,,,,,,
2208,2208,16650,Rockdale (C),0.2344912,23.4491212,,,,,,,
2209,2209,11550,Canterbury (C),0.3292263,32.9226331,,,,,,,
2209,2209,14150,Hurstville (C),0.6707737,67.0773669,,,,,,,
2210,2210,11550,Canterbury (C),0.1777667,17.7766704,,,,,,,
2210,2210,14150,Hurstville (C),0.8222333,82.2233296,,,,,,,
2211,2211,10350,Bankstown (C),1.0,99.9999984,,,,,,,
2212,2212,10350,Bankstown (C),1.0,100.0,,,,,,,
2213,2213,10350,Bankstown (C),1.0,100.0,,,,,,,
2214,2214,10350,Bankstown (C),1.0,99.9999968,,,,,,,
2216,2216,16650,Rockdale (C),1.0,100.0,,,,,,,
2217,2217,14450,Kogarah (C),0.3787156,37.8715601,,,,,,,
2217,2217,16650,Rockdale (C),0.6212844,62.1284399,,,,,,,
2218,2218,14150,Hurstville (C),0.0602001,6.0200074,,,,,,,
2218,2218,14450,Kogarah (C),0.6870117,68.7011706,,,,,,,
2218,2218,16650,Rockdale (C),0.2527882,25.278822,,,,,,,
2219,2219,14450,Kogarah (C),0.2097262,20.9726197,,,,,,,
2219,2219,16650,Rockdale (C),0.7902738,79.0273803,,,,,,,
2220,2220,14150,Hurstville (C),0.6701007,67.0100719,,,,,,,
2220,2220,14450,Kogarah (C),0.3298993,32.9899281,,,,,,,
2221,2221,14450,Kogarah (C),1.0,100.0,,,,,,,
2222,2222,14150,Hurstville (C),0.7354455,73.5445514,,,,,,,
2222,2222,14450,Kogarah (C),0.2645545,26.4554486,,,,,,,
2223,2223,14150,Hurstville (C),0.7233352,72.3335249,,,,,,,
2223,2223,14450,Kogarah (C),0.2766648,27.6664751,,,,,,,
2224,2224,17150,Sutherland Shire (A),1.0,99.9999992,,,,,,,
2225,2225,17150,Sutherland Shire (A),1.0,100.0,,,,,,,
2226,2226,17150,Sutherland Shire (A),1.0,100.0,,,,,,,
2227,2227,17150,Sutherland Shire (A),1.0,100.0,,,,,,,
2228,2228,17150,Sutherland Shire (A),1.0,100.0,,,,,,,
2229,2229,17150,Sutherland Shire (A),1.0,100.0,,,,,,,
2230,2230,17150,Sutherland Shire (A),1.0,100.0,,,,,,,
2231,2231,17150,Sutherland Shire (A),1.0,100.0,,,,,,,
2232,2232,17150,Sutherland Shire (A),1.0,100.0,,,,,,,
2233,2233,17150,Sutherland Shire (A),1.0,100.0,,,,,,,
2234,2234,17150,Sutherland Shire (A),1.0,99.9999999,,,,,,,
2250,2250,11720,Cessnock (C),0.0025186,0.2518627,,,,,,,
2250,2250,13100,Gosford (C),0.9917311,99.173108,,,,,,,
2250,2250,18550,Wyong (A),0.0057199,0.5719918,,,,,,,
2251,2251,13100,Gosford (C),1.0,99.9999984,,,,,,,
2256,2256,13100,Gosford (C),0.9999999,99.9999933,,,,,,,
2257,2257,13100,Gosford (C),1.0,100.0,,,,,,,
2258,2258,13100,Gosford (C),0.0017046,0.1704574,,,,,,,
2258,2258,18550,Wyong (A),0.9982954,99.8295426,,,,,,,
2259,2259,14650,Lake Macquarie (C),0.0604111,6.041114,,,,,,,
2259,2259,18550,Wyong (A),0.9395889,93.9588851,,,,,,,
2260,2260,13100,Gosford (C),0.9996037,99.9603669,,,,,,,
2260,2260,18550,Wyong (A),0.0003963,0.0396263,,,,,,,
2261,2261,18550,Wyong (A),1.0,100.0,,,,,,,
2262,2262,18550,Wyong (A),1.0,100.0,,,,,,,
2263,2263,18550,Wyong (A),1.0,100.0,,,,,,,
2264,2264,14650,Lake Macquarie (C),1.0,99.9999998,,,,,,,
2265,2265,14650,Lake Macquarie (C),1.0,100.0,,,,,,,
2267,2267,14650,Lake Macquarie (C),1.0,100.0,,,,,,,
2278,2278,14650,Lake Macquarie (C),1.0,100.0,,,,,,,
2280,2280,14650,Lake Macquarie (C),1.0,100.0,,,,,,,
2281,2281,14650,Lake Macquarie (C),1.0,100.0,,,,,,,
2282,2282,14650,Lake Macquarie (C),1.0,100.0,,,,,,,
2283,2283,14650,Lake Macquarie (C),1.0,100.0,,,,,,,
2284,2284,14650,Lake Macquarie (C),1.0,100.0,,,,,,,
2285,2285,14650,Lake Macquarie (C),1.0,100.0,,,,,,,
2286,2286,14650,Lake Macquarie (C),1.0,100.0,,,,,,,
2287,2287,14650,Lake Macquarie (C),0.0351255,3.5125533,,,,,,,
2287,2287,15900,Newcastle (C),0.9648745,96.4874467,,,,,,,
2289,2289,14650,Lake Macquarie (C),0.2531826,25.318261,,,,,,,
2289,2289,15900,Newcastle (C),0.7468174,74.681739,,,,,,,
2290,2290,14650,Lake Macquarie (C),1.0,100.0,,,,,,,
